Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
19152,37276,20,14,19897,0,1448,0,994.85,630.7562107,0,0,0.0,0.0,533775.0832,912.1150338,1129.575758,5317.497961,30006,0,37276,1961.894737,6967.487367,30006,1,30239,2326.076923,8382.583188,30225,0,0,0,0,0,664,464,536.5382552,375.5767786,0,1448,568.4857143,686.9066368,471840.7277,0,0,0,1,0,0,0,0,0,585.2058824,994.85,0.0,664,0,0,0,0,0,0,20,19897,14,0,65535,362,15,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116758475,18,15,1684,630,797,0,93.5555555556,255.9193857959,312,0,42.0,109.6305484017,19.818689821,0.2826347295,3648702.34375,4757782.83953519,10008221,65,116758475,6868145.58823529,4546550.90055246,10031390,23433,111646760,7974768.57142857,4092985.0908469,10031584,230,0,0,0,0,372,444,0.1541643979,0.1284703316,0,797,68.0588235294,199.1035882629,39642.23885918,0,0,0,1,0,0,0,0,0,70.1212121212,93.5555555556,42.0,372,0,0,0,0,0,0,18,1684,15,630,8192,64,17,20,146659.272727273,409137.094172135,1380254,23151,10003069.5454545,16545.4167875191,10008221,9953184,BENIGN
443,1577463,7,6,667,3611,517,0,95.2857142857,191.3780850269,1460,0,601.8333333333,683.2295124383,2711.9495037285,8.2410807734,131455.25,228879.317573148,725660,23,1577463,262910.5,272987.692435209,725660,24819,760788,152157.6,207669.215212077,413290,48,0,0,0,0,152,132,4.4375050318,3.8035757416,0,1460,305.5714285714,517.6357071095,267946.725274725,0,0,0,1,0,0,0,0,0,329.0769230769,95.2857142857,601.8333333333,152,0,0,0,0,0,0,7,667,6,3611,8192,31,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,63114,1,1,44,146,44,44,44.0,0.0,146,146,146.0,0.0,3010.425579,31.68869031,63114.0,0.0,63114,63114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,15.84434515,15.84434515,44,146,78.0,58.88972746,3468.0,0,0,0,0,0,0,0,0,1,117.0,44.0,146.0,40,0,0,0,0,0,0,1,44,1,146,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,64442272,12,12,3722,1201,3006,0,310.1666667,869.7002444,610,0,100.0833333,229.6908825,76.39395458,0.372426348,2801837.913,4413004.782,10000000,3,64000000,5819971.0,4913489.582,10100000,51624,64400000,5853706.909,4917865.24,10100000,3,0,0,0,0,252,324,0.186213174,0.186213174,0,3006,196.92,619.3310854,383570.9933,0,0,0,1,0,0,0,0,1,205.125,310.1666667,100.0833333,252,0,0,0,0,0,0,12,3722,12,1201,8192,140,11,20,687891.6667,1559283.12,3870765,51132,9982055.167,60942.38857,10000000,9859632,BENIGN
53,31318,2,2,84,180,42,42,42.0,0.0,90,90,90.0,0.0,8429.657066,127.7220768,10439.33333,18076.25958,31312,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,80,64,63.86103838,63.86103838,42,90,61.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,76.5,42.0,90.0,80,0,0,0,0,0,0,2,84,2,180,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,70289,2,2,74,204,37,37,37.0,0.0,102,102,102.0,0.0,3955.09966,56.90790878,23429.66667,40537.21202,70238,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,28.45395439,28.45395439,37,102,63.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,78.75,37.0,102.0,40,0,0,0,0,0,0,2,74,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48263,1,1,53,106,53,53,53.0,0.0,106,106,106.0,0.0,3294.449164,41.43961213,48263.0,0.0,48263,48263,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.71980606,20.71980606,53,106,70.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,106.0,53.0,106.0,20,0,0,0,0,0,0,1,53,1,106,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,2061966,4,3,651,623,639,0,162.75,317.5125982,617,0,207.6666667,354.5057592,617.8569385,3.394818343,343661.0,754812.846,1881939,38,180027,60009.0,79038.30047,149653,354,2031984,1015992.0,1389935.758,1998825,33159,0,0,0,0,92,72,1.939896196,1.454922147,0,639,159.25,289.39185,83747.64286,0,0,0,1,0,0,0,0,0,182.0,162.75,207.6666667,92,0,0,0,0,0,0,4,651,3,623,8192,30,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5690827,7,3,599,160,517,0,85.5714285714,191.3085266813,160,0,53.3333333333,92.3760430703,133.3725309169,1.7572138461,632314.111111111,1854015.92719611,5576010,48,5690827,948471.166666667,2299510.59795691,5642270,48,91259,45629.5,29595.9543265629,66557,24702,0,0,0,0,232,104,1.2300496923,0.5271641538,0,517,69.0,156.2305987955,24408.0,0,0,0,1,0,0,0,0,0,75.9,85.5714285714,53.3333333333,232,0,0,0,0,0,0,7,599,3,160,29200,59,3,32,114769.0,0.0,114769,114769,5576010.0,0.0,5576010,5576010,BENIGN
80,5403480,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.220791046,0.740263682,1801160.0,3082023.846,5359886,50,5403480,2701740.0,3759256.835,5359936,43544,0,0.0,0.0,0,0,0,0,0,0,72,32,0.555197761,0.18506592,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,14600,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,194,2,2,66,130,33,33,33.0,0.0,65,65,65.0,0.0,1010309.278,20618.5567,64.66666667,69.83074776,141,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,10309.27835,10309.27835,33,65,45.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,57.25,33.0,65.0,64,0,0,0,0,0,0,2,66,2,130,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,154045,18,25,200,480,43,0,11.11111111,12.18914121,51,0,19.2,14.20387271,4414.294524,279.1392126,3667.738095,13858.88677,74964,1,153979,9057.588235,28732.32251,115851,3,153915,6413.125,18012.35362,74964,1,0,0,0,0,384,524,116.8489727,162.2902399,0,51,15.45454545,13.8906938,192.9513742,0,0,0,1,0,0,0,0,1,15.81395349,11.11111111,19.2,384,0,0,0,0,0,0,18,200,25,480,8192,229,16,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23982,2,2,96,226,48,48,48.0,0.0,113,113,113.0,0.0,13426.73672,166.7917605,7994.0,13840.81804,23976,2,4,4.0,0.0,4,4,2,2.0,0.0,2,2,0,0,0,0,64,40,83.39588024,83.39588024,48,113,74.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,92.5,48.0,113.0,64,0,0,0,0,0,0,2,96,2,226,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,16910906,9,11,2396,4839,1015,0,266.2222222,398.5824186,1448,0,439.9090909,646.1840999,427.830419,1.182668746,890047.6842,2667198.321,9998939,1,16900000,2109568.5,3924512.69,9998942,144,16900000,1688764.0,3582292.479,10000000,1,0,0,0,0,296,360,0.532200936,0.650467811,0,1448,344.5238095,534.8103046,286022.0619,0,0,0,1,0,0,0,0,1,361.75,266.2222222,439.9090909,296,0,0,0,0,0,0,9,2396,11,4839,29200,1066,4,32,157346.0,189873.7271,291607,23085,8280928.0,2429634.457,9998939,6562917,BENIGN
443,64367,6,3,121,3110,121,0,20.16666667,49.39804315,2676,0,1036.666667,1436.192652,50196.52928,139.8232013,8045.875,12923.1659,28829,78,64367,12873.4,14884.90861,29027,78,29591,14795.5,20692.06574,29427,164,0,0,0,0,204,104,93.21546755,46.60773378,0,2676,323.1,837.9894523,702226.3222,0,0,0,1,0,0,0,0,0,359.0,20.16666667,1036.666667,204,0,0,0,0,0,0,6,121,3,3110,65535,4050,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23691,2,2,94,268,47,47,47.0,0.0,134,134,134.0,0.0,15280.06416,168.8404879,7897.0,13672.80907,23685,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,84.42024397,84.42024397,47,134,81.8,47.6518625,2270.7,0,0,0,0,0,0,0,0,1,102.25,47.0,134.0,64,0,0,0,0,0,0,2,94,2,268,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62444,1,1,53,166,53,53,53.0,0.0,166,166,166.0,0.0,3507.14239959,32.0286977132,62444.0,0.0,62444,62444,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.0143488566,16.0143488566,53,166,90.6666666667,65.2405804184,4256.3333333333,0,0,0,0,0,0,0,0,1,136.0,53.0,166.0,32,0,0,0,0,0,0,1,53,1,166,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,104575,2,2,68,482,34,34,34.0,0.0,241,241,241.0,0.0,5259.3832177863,38.2500597657,34858.3333333333,60332.2413004302,104524,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,80,19.1250298829,19.1250298829,34,241,116.8,113.3785694036,12854.7,0,0,0,0,0,0,0,0,1,146.0,34.0,241.0,64,0,0,0,0,0,0,2,68,2,482,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,46762,1,1,49,153,49,49,49.0,0.0,153,153,153.0,0.0,4319.746803,42.76977033,46762.0,0.0,46762,46762,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.38488516,21.38488516,49,153,83.66666667,60.044428,3605.333333,0,0,0,0,0,0,0,0,1,125.5,49.0,153.0,32,0,0,0,0,0,0,1,49,1,153,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54772,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,357,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4329698,9,9,2552,5586,1035,0,283.5555556,435.6148273,4125,0,620.6666667,1351.216489,1879.57682,4.157333837,254688.1176,609122.338,1951743,4,2377955,297244.375,600529.6921,1681661,194,4329515,541189.375,832326.7758,1990698,4,0,0,0,0,296,296,2.078666919,2.078666919,0,4125,428.3157895,966.9371491,934967.4503,0,0,0,1,0,0,0,0,1,452.1111111,283.5555556,620.6666667,296,0,0,0,0,0,0,9,2552,9,5586,29200,8,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,255,2,2,78,152,39,39,39.0,0.0,76,76,76.0,0.0,901960.7843,15686.27451,85.0,136.011029,242,3,3,3.0,0.0,3,3,10,10.0,0.0,10,10,0,0,0,0,64,64,7843.137255,7843.137255,39,76,53.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,67.25,39.0,76.0,64,0,0,0,0,0,0,2,78,2,152,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30569,2,2,68,138,34,34,34.0,0.0,69,69,69.0,0.0,6738.853086,130.8515162,10189.66667,17642.09218,30561,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,65.42575812,65.42575812,34,69,48.0,19.17028951,367.5,0,0,0,0,0,0,0,0,1,60.0,34.0,69.0,40,0,0,0,0,0,0,2,68,2,138,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,7934,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,252.0796572,7934.0,0.0,7934,7934,7934,7934.0,0.0,7934,7934,0,0.0,0.0,0,0,0,0,0,0,40,0,252.0796572,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,86631058,8,5,368,11595,368,0,46.0,130.1076477,10136,0,2319.0,4414.366206,138.0913529,0.150061656,7219254.833,24700000.0,85600000,2,86600000,12400000.0,32300000.0,85600000,2,71496,17874.0,27590.02219,58243,48,0,0,0,0,272,168,0.092345634,0.057716021,0,10136,854.5,2699.691742,7288335.5,0,0,0,0,1,0,0,0,0,920.2307692,46.0,2319.0,272,0,0,0,0,0,0,8,368,5,11595,251,235,1,32,996.0,0.0,996,996,85600000.0,0.0,85600000,85600000,DoS Hulk
56994,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,96086289,2,2,100,186,57,43,50.0,9.899494937,127,59,93.0,48.08326112,2.976491266,0.041629248,32000000.0,55400000.0,96000000,30665,96100000,96100000.0,0.0,96100000,96100000,96000000,96000000.0,0.0,96000000,96000000,0,0,0,0,52,52,0.020814624,0.020814624,43,127,68.6,33.26860382,1106.8,0,0,0,0,0,0,0,0,1,85.75,50.0,93.0,52,0,0,0,0,0,0,2,100,2,186,-1,-1,1,20,62694.0,0.0,62694,62694,96000000.0,0.0,96000000,96000000,BENIGN
53,61283,2,2,76,376,38,38,38.0,0.0,188,188,188.0,0.0,7375.6180343652,65.2709560563,20427.6666666667,35376.5603943251,61277,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,32.6354780282,32.6354780282,38,188,98.0,82.1583836258,6750.0,0,0,0,0,0,0,0,0,1,122.5,38.0,188.0,40,0,0,0,0,0,0,2,76,2,376,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49846,1,2,0,617,0,617,0,308.5,436.284884,0,0,0.0,0.0,617000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,64,0,2000000.0,0.0,0,617,411.3333333,356.2251161,126896.3333,0,1,0,0,1,0,0,0,0,617.0,308.5,0.0,64,0,0,0,0,0,0,2,617,0,0,65535,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,50169,4,4,164,440,41,41,41.0,0.0,110,110,110.0,0.0,12039.30714,159.4610217,7167.0,18299.91053,48654,1,49992,16664.0,28819.60338,49942,1,1466,488.6666667,800.8122959,1413,4,0,0,0,0,80,80,79.73051087,79.73051087,41,110,71.66666667,36.36619309,1322.5,0,0,0,0,0,0,0,0,1,80.625,41.0,110.0,80,0,0,0,0,0,0,4,164,4,440,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30696,1,1,51,115,51,51,51.0,0.0,115,115,115.0,0.0,5407.870732343,65.1550690644,30696.0,0.0,30696,30696,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.5775345322,32.5775345322,51,115,72.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,0,1,108.5,51.0,115.0,20,0,0,0,0,0,0,1,51,1,115,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1060578,1,1,43,113,43,43,43.0,0.0,113,113,113.0,0.0,147.0896058564,1.8857641776,1060578.0,0.0,1060578,1060578,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,0.9428820888,0.9428820888,43,113,66.3333333333,40.4145188433,1633.3333333333,0,0,0,0,0,0,0,0,1,99.5,43.0,113.0,20,0,0,0,0,0,0,1,43,1,113,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30803,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,3376.294517,64.92874071,30803.0,0.0,30803,30803,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.46437035,32.46437035,44,60,49.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,32,0,0,0,0,0,0,1,44,1,60,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56291,64,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,281250.0,46875.0,32.0,22.627417,48,16,0,0.0,0.0,0,0,48,48.0,0.0,48,48,0,0,0,0,20,40,15625.0,31250.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,2047,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,1490166,9,11,703,3950,267,0,78.1111111111,103.3022802803,1448,0,359.0909090909,569.9183195065,3122.4709193472,13.4213235304,78429.7894736842,127543.029209134,462624,3,1001558,125194.75,184666.790015925,563526,221,1385348,138534.8,159385.073516102,462624,3,0,0,0,0,296,360,6.0395955887,7.3817279417,0,1448,221.5714285714,434.4990876203,188789.457142857,0,0,0,1,0,0,0,0,1,232.65,78.1111111111,359.0909090909,296,0,0,0,0,0,0,9,703,11,3950,29200,254,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,229245,4,2,120,286,30,30,30.0,0.0,143,143,143.0,0.0,1771.030993,26.17287182,45849.0,85555.36924,196840,3,32402,10800.66667,18622.43296,32304,48,3,3.0,0.0,3,3,0,0,0,0,80,40,17.44858121,8.724290606,30,143,62.28571429,55.13835412,3040.238095,0,0,0,0,0,0,0,0,0,72.66666667,30.0,143.0,80,0,0,0,0,0,0,4,120,2,286,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57185,21,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,571428.5714,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,47619.04762,47619.04762,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,166,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,50248,1,1,44,300,44,44,44.0,0.0,300,300,300.0,0.0,6846.043624,39.80257921,50248.0,0.0,50248,50248,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,40,19.9012896,19.9012896,44,300,129.3333333,147.8016689,21845.33333,0,0,0,0,0,0,0,0,1,194.0,44.0,300.0,20,0,0,0,0,0,0,1,44,1,300,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5361592,9,7,384,5073,197,0,42.6666666667,70.2157389764,1460,0,724.7142857143,685.4119720493,1017.7947147041,2.9841882784,357439.466666667,1232027.40055069,4806858,2,5361592,670199.0,1673149.09339647,4806858,3,344357,57392.8333333333,96961.1173768468,234653,48,0,0,0,0,192,152,1.6786059066,1.3055823718,0,1460,321.0,547.6850144015,299958.875,0,0,0,1,0,0,0,0,0,341.0625,42.6666666667,724.7142857143,192,0,0,0,0,0,0,9,384,7,5073,8192,119,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
